SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,GQESTIMATES2013,RBIRTH2011,RBIRTH2012,RBIRTH2013,RDEATH2011,RDEATH2012,RDEATH2013,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RNETMIG2011,RNETMIG2012,RNETMIG2013
050,3,7,48,205,Texas,Hartley County,6062,6062,6062,6085,6165,6100,0,23,80,-65,14,55,57,54,5,41,24,28,9,14,33,26,1,10,10,10,-8,-29,37,-90,-7,-19,47,-80,-2,28,0,-11,1406,1406,1426,1445,1449,9.0557339261,9.306122449,8.8055442316,6.7506380176,3.9183673469,4.5658377497,2.3050959085,5.387755102,4.2397064819,1.6464970775,1.6326530612,1.6306563392,-4.774841525,6.0408163265,-14.67590705,-3.128344447,7.6734693878,-13.04525071
050,3,7,48,207,Texas,Haskell County,5899,5899,5873,5944,5871,5875,-26,71,-73,4,11,38,58,50,33,84,82,70,-22,-46,-24,-20,0,0,0,0,-4,108,-50,40,-4,108,-50,40,0,9,1,-16,544,544,543,542,542,6.431412372,9.8180279306,8.5135365231,14.216806296,13.880660178,11.918951132,-7.785393924,-4.062632247,-3.405414609,0,0,0,18.278750952,-8.463817182,6.8108292185,18.278750952,-8.463817182,6.8108292185
050,3,7,48,209,Texas,Hays County,157107,157112,158289,163771,169013,176026,1177,5482,5242,7013,531,2106,2037,2121,236,791,809,816,295,1315,1228,1305,26,107,118,114,824,3943,3820,5559,850,4050,3938,5673,32,117,76,35,7017,7015,7014,7095,7092,13.07830839,12.242175105,12.294262388,4.9121281749,4.8620125968,4.7299000982,8.1661802149,7.3801625078,7.5643622895,0.6644724585,0.70916871,0.6607948667,24.486120599,22.957834511,32.222444419,25.150593057,23.667003221,32.883239286
050,3,7,48,211,Texas,Hemphill County,3807,3807,3798,3960,4077,4158,-9,162,117,81,16,71,62,71,12,30,28,25,4,41,34,46,2,8,6,6,-15,108,76,36,-13,116,82,42,0,5,1,-7,40,40,45,40,40,18.303686517,15.428642528,17.243472981,7.7339520495,6.967774045,6.0716454159,10.569734468,8.4608684833,11.171827565,2.0623872132,1.4930944382,1.4571948998,27.842227378,18.912529551,8.7431693989,29.904614591,20.405623989,10.200364299
050,3,7,48,213,Texas,Henderson County,78532,78536,78655,78680,78939,78675,119,25,259,-264,216,933,900,910,267,955,947,1004,-51,-22,-47,-94,14,27,24,26,154,40,292,-185,168,67,316,-159,2,-20,-10,-11,1242,1242,1345,1325,1326,11.860043855,11.419943027,11.547197584,12.13970191,12.01631783,12.739985027,-0.279658054,-0.596374803,-1.192787443,0.3432167032,0.3045318141,0.329919931,0.5084691899,3.705137071,-2.347507201,0.8516858932,4.0096688851,-2.01758727
050,3,7,48,215,Texas,Hidalgo County,774769,774769,779271,794521,805975,815996,4502,15250,11454,10021,3832,16379,16198,16120,910,3594,3729,3930,2922,12785,12469,12190,252,1107,672,751,1286,1375,-1635,-3314,1538,2482,-963,-2563,42,-17,-52,394,6982,7009,7216,7120,7132,20.814694699,20.24122522,19.877050823,4.5673125801,4.6598054603,4.8459559388,16.247382119,15.58141976,15.031094884,1.4067932738,0.8397396807,0.9260338193,1.7473719526,-2.043116634,-4.086386255,3.1541652264,-1.203376953,-3.160352435
050,3,7,48,217,Texas,Hill County,35089,35089,35128,35191,35106,34823,39,63,-85,-283,107,432,428,417,61,384,385,376,46,48,43,41,5,22,20,19,-8,10,-143,-356,-3,32,-123,-337,-4,-17,-5,13,829,829,794,792,793,12.286864148,12.176906554,11.926382474,10.92165702,10.953525755,10.753764533,1.3652071275,1.2233807986,1.1726179411,0.6257199334,0.5690143249,0.5434083141,0.2844181516,-4.068452423,-10.18175578,0.910138085,-3.499438098,-9.638347467
050,3,7,48,219,Texas,Hockley County,22935,22935,22838,22969,23150,23530,-97,131,181,380,81,323,350,335,73,209,179,193,8,114,171,142,8,31,26,27,-115,-19,-13,199,-107,12,13,226,2,5,-3,12,641,641,674,715,717,14.102648067,15.178126152,14.353041988,9.1252428668,7.7625273748,8.2690659811,4.9774052001,7.4155987771,6.0839760069,1.3535049228,1.1275179427,1.1568123393,-0.829567533,-0.563758971,8.5261353899,0.5239373895,0.5637589714,9.6829477292
050,3,7,48,221,Texas,Hood County,51182,51182,51358,51506,52171,52905,176,148,665,734,137,569,541,569,110,557,588,573,27,12,-47,-4,10,23,20,22,139,121,688,746,149,144,708,768,0,-8,4,-30,701,701,708,803,803,11.063151345,10.436258765,10.830256196,10.829833567,11.342920802,10.906391564,0.2333177788,-0.906662037,-0.076135369,0.4471924094,0.3858136327,0.4187445278,2.3526209364,13.271988966,14.19924626,2.7998133458,13.657802598,14.617990788
050,3,7,48,223,Texas,Hopkins County,35161,35161,35222,35345,35424,35565,61,123,79,141,137,499,461,474,126,375,355,343,11,124,106,131,6,13,14,17,43,-30,-40,-27,49,-17,-26,-10,1,16,-1,20,431,431,433,446,446,14.142587895,13.028303353,13.354181634,10.628197316,10.032641411,9.6634689882,3.5143905792,2.9956619424,3.6907126456,0.3684441736,0.3956534641,0.4789474426,-0.850255785,-1.130438469,-0.760681232,-0.481811612,-0.734785005,-0.28173379
050,3,7,48,225,Texas,Houston County,23732,23732,23694,23374,23184,22911,-38,-320,-190,-273,60,230,236,226,113,294,272,303,-53,-64,-36,-77,6,35,32,32,11,-296,-187,-197,17,-261,-155,-165,-2,5,1,-31,2908,2908,2816,2806,2819,9.7730942466,10.137892521,9.8058357739,12.49256395,11.684350702,13.146762122,-2.719469703,-1.546458181,-3.340926348,1.4872099941,1.3746294944,1.3884369237,-12.57754738,-8.032991108,-8.547564812,-11.09033738,-6.658361613,-7.159127888
050,3,7,48,227,Texas,Howard County,35012,35012,35020,34980,35454,36147,8,-40,474,693,122,409,444,425,116,354,368,343,6,55,76,82,4,13,13,13,3,-115,380,607,7,-102,393,620,-5,7,5,-9,6080,6100,6107,6121,6121,11.685714286,12.607547491,11.871342579,10.114285714,10.449498822,9.5808717755,1.5714285714,2.1580486697,2.2904708035,0.3714285714,0.369139904,0.3631234201,-3.285714286,10.790243348,16.95507046,-2.914285714,11.159383252,17.31819388
050,3,7,48,229,Texas,Hudspeth County,3476,3476,3473,3419,3339,3318,-3,-54,-80,-21,9,55,47,47,12,22,16,5,-3,33,31,42,0,4,3,1,0,-94,-116,-59,0,-90,-113,-58,0,3,2,-5,86,86,86,86,86,15.960533952,13.909440663,14.120474688,6.384213581,4.7351287363,1.5021781583,9.5763203714,9.1743119266,12.61829653,1.1607661056,0.8878366381,0.3004356317,-27.27800348,-34.32968334,-17.72570227,-26.11723738,-33.4418467,-17.42526664
050,3,7,48,231,Texas,Hunt County,86129,86129,86296,86613,87056,87048,167,317,443,-8,261,1093,1047,1082,245,860,774,841,16,233,273,241,17,53,51,50,128,16,130,-311,145,69,181,-261,6,15,-11,12,1869,1870,1961,2024,2024,12.642488245,12.057419574,12.429352571,9.9474289944,8.9135078799,9.6608923402,2.6950592508,3.1439116941,2.7684602307,0.6130392287,0.5873241626,0.5743693425,0.1850684464,1.4971008067,-3.57257731,0.7981076751,2.0844249693,-2.998207968
050,3,7,48,233,Texas,Hutchinson County,22150,22150,22109,21910,21907,21819,-41,-199,-3,-88,71,285,322,309,49,254,214,209,22,31,108,100,1,6,4,4,-64,-272,-115,-131,-63,-266,-111,-127,0,36,0,-61,161,161,130,131,130,12.948953861,14.697491841,14.133467502,11.54047116,9.7678983043,9.5595297992,1.4084827007,4.9295935368,4.573937703,0.272609555,0.1825775384,0.1829575081,-12.35829983,-5.249104229,-5.991858391,-12.08569027,-5.066526691,-5.808900883
050,3,7,48,235,Texas,Irion County,1599,1599,1610,1610,1577,1612,11,0,-33,35,6,12,18,18,4,15,15,6,2,-3,3,12,0,0,0,0,9,-1,-35,38,9,-1,-35,38,0,4,-1,-15,0,0,0,0,0,7.4534161491,11.295889551,11.288805268,9.3167701863,9.4132412928,3.7629350894,-1.863354037,1.8826482586,7.5258701787,0,0,0,-0.621118012,-21.96422968,23.831922233,-0.621118012,-21.96422968,23.831922233
050,3,7,48,237,Texas,Jack County,9044,9044,9022,9042,8980,8957,-22,20,-62,-23,28,101,95,100,35,85,72,64,-7,16,23,36,0,5,4,4,-15,-2,-91,-43,-15,3,-87,-39,0,1,2,-20,1140,1140,1145,1154,1154,11.182462356,10.54267007,11.150136589,9.4109831709,7.9902341583,7.1360874171,1.7714791851,2.5524359117,4.0140491721,0.5535872453,0.4439018977,0.4460054636,-0.221434898,-10.09876817,-4.794558733,0.3321523472,-9.654866275,-4.34855327
050,3,7,48,239,Texas,Jackson County,14075,14075,14069,14005,14252,14591,-6,-64,247,339,46,176,194,190,20,137,133,123,26,39,61,67,0,3,2,1,-28,-109,183,286,-28,-106,185,287,-4,3,1,-15,217,217,204,206,206,12.538291658,13.731110875,13.174773775,9.7599202109,9.4135966309,8.5289324966,2.7783714469,4.3175142443,4.6458412786,0.2137208805,0.1415578441,0.0693409146,-7.765191993,12.952542733,19.831501578,-7.551471112,13.094100577,19.900842492
050,3,7,48,241,Texas,Jasper County,35710,35710,35825,36298,35881,35649,115,473,-417,-232,126,470,450,434,133,393,385,411,-7,77,65,23,3,20,18,20,120,377,-510,-258,123,397,-492,-238,-1,-1,10,-17,941,941,953,925,923,13.033290351,12.469000679,12.134768629,10.898049166,10.667922803,11.491681812,2.1352411852,1.8010778758,0.6430868167,0.5546081001,0.4987600272,0.5592059276,10.454362686,-14.1315341,-7.213756466,11.008970786,-13.63277408,-6.654550538
050,3,7,48,243,Texas,Jeff Davis County,2342,2342,2351,2309,2314,2253,9,-42,5,-61,10,14,18,21,1,21,13,16,9,-7,5,5,0,1,1,1,0,-44,-1,-59,0,-43,0,-58,0,8,0,-8,88,88,88,88,88,6.008583691,7.7871512005,9.1964090212,9.0128755365,5.6240536448,7.0067878257,-3.004291845,2.1630975557,2.1896211955,0.4291845494,0.4326195111,0.4379242391,-18.88412017,-0.432619511,-25.83753011,-18.45493562,0,-25.39960587
050,3,7,48,245,Texas,Jefferson County,252273,252273,252490,253298,251306,252358,217,808,-1992,1052,920,3435,3424,3374,532,2350,2367,2438,388,1085,1057,936,106,417,418,416,-262,-637,-3539,-191,-156,-220,-3121,225,-15,-57,72,-109,15983,16009,16509,15965,15974,13.582765902,13.571037883,13.397820769,9.2924308208,9.3816140974,9.6810572127,4.2903350811,4.1894237858,3.7167635567,1.6489121925,1.6567446948,1.6518949141,-2.518841886,-14.02684085,-0.758442136,-0.869929694,-12.37009615,0.893452778
050,3,7,48,247,Texas,Jim Hogg County,5300,5300,5296,5291,5261,5245,-4,-5,-30,-16,22,89,92,94,21,47,49,46,1,42,43,48,2,6,4,5,-7,-56,-78,-60,-5,-50,-74,-55,0,3,1,-9,16,16,16,16,16,16.813072636,17.437452616,17.894536455,8.8788136394,9.2873388931,8.7569008186,7.9342589969,8.1501137225,9.1376356368,1.133465571,0.7581501137,0.9518370455,-10.579012,-14.78392722,-11.42204455,-9.445546425,-14.0257771,-10.4702075
050,3,7,48,249,Texas,Jim Wells County,40838,40839,40885,41216,41670,41680,46,331,454,10,155,656,626,644,121,372,421,389,34,284,205,255,1,1,-1,-1,10,68,251,-237,11,69,250,-238,1,-22,-1,-7,357,358,345,358,358,15.980316927,15.105084091,15.452909418,9.0620089889,10.158530994,9.3341331734,6.9183079378,4.946553097,6.1187762448,0.0243602392,-0.024129527,-0.023995201,1.6564962668,6.0565113529,-5.686862627,1.680856506,6.0323818256,-5.710857828
050,3,7,48,251,Texas,Johnson County,150934,150934,151302,151989,153341,154707,368,687,1352,1366,521,1908,1942,1954,227,1196,1223,1193,294,712,719,761,28,111,101,111,48,-93,551,424,76,18,652,535,-2,-43,-19,70,2644,2645,2642,2654,2658,12.581975726,12.720662889,12.686334597,7.8868149731,8.0110044869,7.7455461487,4.6951607532,4.7096584024,4.9407884486,0.731970286,0.6615792749,0.7206669091,-0.613272402,3.6092097075,2.7528177427,0.1186978842,4.2707889824,3.4734846517
050,3,7,48,253,Texas,Jones County,20202,20202,20267,20269,19905,19859,65,2,-364,-46,64,154,187,161,21,204,174,160,43,-50,13,1,-1,-2,-2,-1,26,41,-383,7,25,39,-385,6,-3,13,8,-53,5007,5026,5176,5101,5107,7.59818433,9.3095036591,8.0977768836,10.065127294,8.6623189127,8.0474801328,-2.466942964,0.6471847464,0.0502967508,-0.098677719,-0.099566884,-0.050296751,2.0228932307,-19.0670583,0.3520772558,1.9242155121,-19.16662518,0.301780505
050,3,7,48,255,Texas,Karnes County,14824,14824,14865,14957,14873,15081,41,92,-84,208,42,135,163,161,11,141,156,154,31,-6,7,7,0,2,1,1,13,83,-95,208,13,85,-94,209,-3,13,3,-8,3336,3354,3348,2963,2966,9.0537187311,10.928595374,10.749816385,9.4561062303,10.459269192,10.282433064,-0.402387499,0.4693261817,0.4673833211,0.1341291664,0.0670465974,0.0667690459,5.5663604051,-6.369426752,13.887961541,5.7004895715,-6.302380154,13.954730587
050,3,7,48,257,Texas,Kaufman County,103350,103346,103866,105272,106686,108568,520,1406,1414,1882,350,1393,1421,1404,247,782,791,837,103,611,630,567,20,71,62,66,381,672,727,1270,401,743,789,1336,16,52,-5,-21,1336,1336,1353,1368,1370,13.321347627,13.408316742,13.04505375,7.4783157532,7.463742817,7.7768589666,5.8430318737,5.944573925,5.2681947838,0.6789775172,0.5850215609,0.6132290225,6.4263787547,6.8598495928,11.800013008,7.1053562719,7.4448711537,12.41324203
050,3,7,48,259,Texas,Kendall County,33410,33410,33688,34676,35968,37766,278,988,1292,1798,92,315,345,354,90,294,303,323,2,21,42,31,15,36,44,40,263,874,1190,1786,278,910,1234,1826,-2,57,16,-59,519,519,536,545,545,9.215376514,9.7672838458,9.6020831638,8.6010180797,8.5782232037,8.7612227738,0.6143584343,1.1890606421,0.8408603901,1.0531858873,1.2456825774,1.0849811485,25.569012931,33.690051526,48.444408278,26.622198818,34.935734103,49.529389427
050,3,7,48,261,Texas,Kenedy County,416,416,418,435,434,412,2,17,-1,-22,0,5,5,4,0,0,0,0,0,5,5,4,0,0,0,0,2,11,-5,-24,2,11,-5,-24,0,1,-1,-2,0,0,0,0,0,11.723329426,11.507479862,9.4562647754,0,0,0,11.723329426,11.507479862,9.4562647754,0,0,0,25.791324736,-11.50747986,-56.73758865,25.791324736,-11.50747986,-56.73758865
050,3,7,48,263,Texas,Kent County,808,808,812,822,843,807,4,10,21,-36,4,6,7,5,1,12,12,11,3,-6,-5,-6,0,0,0,0,2,15,26,-25,2,15,26,-25,-1,1,0,-5,52,52,49,48,48,7.3439412485,8.4084084084,6.0606060606,14.687882497,14.414414414,13.333333333,-7.343941248,-6.006006006,-7.272727273,0,0,0,18.359853121,31.231231231,-30.3030303,18.359853121,31.231231231,-30.3030303
050,3,7,48,265,Texas,Kerr County,49625,49625,49643,49631,49826,49953,18,-12,195,127,129,473,502,489,185,656,703,682,-56,-183,-201,-193,17,45,38,38,62,138,359,231,79,183,397,269,-5,-12,-1,51,1910,1910,1906,1962,1960,9.5291818603,10.094814845,9.8016616723,13.215947781,14.136762621,13.670211167,-3.686765921,-4.041947776,-3.868549494,0.9065817838,0.7641493309,0.7616833201,2.7801841368,7.2192002574,4.6302328145,3.6867659206,7.9833495883,5.3919161347
050,3,7,48,267,Texas,Kimble County,4607,4607,4584,4596,4547,4481,-23,12,-49,-66,7,37,45,38,6,74,49,43,1,-37,-4,-5,1,4,4,4,-22,42,-49,-48,-21,46,-45,-44,-3,3,0,-17,43,43,44,48,48,8.0610021786,9.8435961938,8.4182543199,16.122004357,10.718582522,9.525919362,-8.061002179,-0.874986328,-1.107665042,0.871459695,0.8749863283,0.8861320337,9.1503267974,-10.71858252,-10.6335844,10.021786492,-9.843596194,-9.74745237
050,3,7,48,269,Texas,King County,286,286,289,261,278,285,3,-28,17,7,1,3,3,4,0,0,0,0,1,3,3,4,1,2,2,2,1,-35,12,2,2,-33,14,4,0,2,0,-1,0,0,0,0,0,10.909090909,11.131725417,14.209591474,0,0,0,10.909090909,11.131725417,14.209591474,7.2727272727,7.4211502783,7.1047957371,-127.2727273,44.52690167,7.1047957371,-120,51.948051948,14.209591474
050,3,7,48,271,Texas,Kinney County,3598,3598,3599,3600,3594,3586,1,1,-6,-8,12,30,35,43,22,29,18,32,-10,1,17,11,0,-1,-1,-1,12,-3,-21,-10,12,-4,-22,-11,-1,4,-1,-8,332,332,332,332,334,8.3344909015,9.7303308312,11.977715877,8.0566745381,5.0041701418,8.9136490251,0.2778163634,4.7261606895,3.0640668524,-0.277816363,-0.278009452,-0.278551532,-0.83344909,-5.838198499,-2.78551532,-1.111265454,-6.116207951,-3.064066852
050,3,7,48,273,Texas,Kleberg County,32061,32061,32093,32074,32114,32101,32,-19,40,-13,133,470,487,482,86,254,233,226,47,216,254,256,27,80,120,101,-44,-312,-330,-385,-17,-232,-210,-284,2,-3,-4,15,1974,1974,1986,2122,2121,14.649274549,15.174175858,15.012068831,7.9168419904,7.2599239733,7.0388538503,6.7324325588,7.9142518851,7.9732149809,2.4934935403,3.7390166386,3.1456824729,-9.724624807,-10.28229576,-11.99096784,-7.231131267,-6.543279118,-8.845285369
050,3,7,48,275,Texas,Knox County,3719,3719,3730,3742,3770,3767,11,12,28,-3,16,45,52,52,22,57,46,47,-6,-12,6,5,0,2,1,1,16,17,22,-11,16,19,23,-10,1,5,-1,2,104,104,98,85,88,12.04496788,13.844515442,13.798593605,15.256959315,12.247071353,12.471805758,-3.211991435,1.5974440895,1.3267878466,0.5353319058,0.2662406816,0.2653575693,4.5503211991,5.8572949947,-2.918933263,5.0856531049,6.1235356763,-2.653575693
050,3,7,48,277,Texas,Lamar County,49793,49789,49849,50001,49881,49426,60,152,-120,-455,184,649,655,643,158,559,582,632,26,90,73,11,8,30,25,27,27,15,-218,-544,35,45,-193,-517,-1,17,0,51,713,713,705,741,741,12.999499249,13.115476262,12.94974171,11.196795193,11.653751427,12.728206471,1.8027040561,1.4617248353,0.2215352392,0.600901352,0.500590697,0.5437683144,0.300450676,-4.365150878,-10.95592456,0.901352028,-3.864560181,-10.41215624
